Rank,Encoding,Word Length,Word,Language Score
<<<<<<< HEAD
1,132622,18, responsabilidades,0.9999936227302572
2,74639,17, responsabilidade,0.999994648403318
3,37784,16, desenvolvimento,0.9999935604281518
4,59321,16, aproximadamente,0.9999918864881937
5,70313,16, responsabilidad,0.9999908723580191
6,95620,16, Desenvolvimento,0.8571387341284529
7,133080,16, administrations,0.9999947783048667
8,185865,16, administrativos,0.9999952561023615
9,191527,16, administrativas,0.9999968823240649
10,16507,15, administration,0.999994386363532
11,33039,15, administrative,0.9999964796284284
12,62306,15, administrators,0.999996759062678
13,85879,15, Administrative,0.7142828137237893
14,89803,15, exclusivamente,0.999994227500151
15,94071,15, posteriormente,0.9999921513679102
16,96721,15, acompanhamento,0.9999960942719062
17,103137,15, constantemente,0.714282266067344
18,113711,15, administrativa,0.9999945241400621
19,125451,15, reconhecimento,0.9999972130917354
20,125866,15, possibilidades,0.9999935641059793
21,127676,15, administrativo,0.9999949315310196
22,151579,15,’administration,0.999996533310477
23,186264,15, extremadamente,0.9999935123292202
24,186905,15, Administrativo,0.9999950606532927
25,189616,15, cuidadosamente,0.8128312147753218
26,194060,15, personalizados,0.9999942887917952
27,196233,15,'administration,0.9999959454769874
28,199520,15, correspondente,0.5839346919627811
29,43659,14, completamente,0.9999938579451726
30,45093,14, administrator,0.9999945974022235
31,55451,14, oportunidades,0.9999955034034295
32,65267,14, possibilidade,0.9999963973072584
33,82024,14, posibilidades,0.5714822691667779
34,84118,14, trabalhadores,0.9999952327705327
35,85553,14, comportamento,0.9999932217067864
36,93265,14, administração,0.9999995770920811
37,104825,14, universidades,0.7426914774860314
38,111442,14, decentralized,0.8571382957096719
39,111979,14, Administração,0.9999994064844568
40,117515,14, conhecimentos,0.9999958490877393
41,127791,14, administrador,0.9999966524052121
42,128121,14, embarrassment,0.9999964714965994
43,128515,14, classificação,0.9999980342436439
44,131899,14, personalizado,0.9999938547452065
45,138494,14, profundamente,0.999875896834376
46,139513,14, acompanhantes,0.9999963302012104
47,140809,14, identificação,0.9999994190436521
48,143643,14, personalidade,0.9995309414431848
49,146058,14, correspondant,0.9999917957227524
50,146059,14, departamentos,0.7055553022554852
51,147902,14, transferência,0.9999957934849866
52,148096,14, transformação,0.9999981515430556
53,151695,14, administering,0.5168283217819819
54,161998,14, produtividade,0.999993130844598
55,163530,14, implementação,0.9999984539120805
56,163950,14, personalizada,0.9999942416426002
57,165197,14, consequências,0.9999975074482981
58,168921,14, pesquisadores,0.9999949292959547
59,172068,14, interpretação,0.999998907911964
60,174742,14, classificados,0.9999957613925301
61,177684,14, representação,0.9999992739787944
62,180970,14,Administrative,0.5564749614774895
63,181792,14, administratie,0.5714283291642184
64,188058,14, apresentações,0.9999957931516004
65,190487,14, Municipalidad,0.9999648467511889
66,191626,14, administratif,0.9999965142251186
67,196261,14, churrasqueira,0.9999952441418503
68,197497,14, manifestações,0.9999965329797036
69,31756,13, demonstrated,0.5714265428859328
70,48923,13, conhecimento,0.9999961303855454
71,50795,13, demonstrates,0.9999933347569654
72,51512,13, Universidade,0.9999939105312595
73,53108,13, administered,0.7142821686411376
74,57757,13, oportunidade,0.9999966484838221
75,60152,13, Contemporary,0.5714245118960457
76,60825,13, participação,0.9999992500195146
77,65479,13, Departamento,0.7251517140011294
78,73212,13, necessidades,0.9999961026999697
79,74445,13, adolescentes,0.9999947099514235
80,76459,13, consumidores,0.9999927709568113
81,82218,13, apresentação,0.9999974532143695
82,85318,13, instrumentos,0.8571391694857009
83,87961,13, instituições,0.9999986738500434
84,89044,13, embarrassing,0.8571407607895434
85,90488,13, trituradoras,0.9999928552038825
86,94836,13, dificuldades,0.9999953079932181
87,98649,13, comportement,0.9999953568049618
88,99341,13,Administrator,0.5714278759286273
89,100134,13, experiências,0.9999982189169088
90,101661,13, extremamente,0.8102119642312016
91,107155,13, considerando,0.9999940335381521
92,107929,13, distribuição,0.9999963724329127
93,112842,13, responsáveis,0.9999960953179468
94,116441,13, investigação,0.9999978904766949
95,119701,13, dificultades,0.9285490168028132
96,123056,13, Constituição,0.9999979957633776
97,124194,13, recomendamos,0.999992565117645
98,125373,13, desenvolvido,0.9999963711469682
99,126562,13, organizações,0.9999980880690092
100,128077,13, considerados,0.9999933671314529
=======
1,132622,18, responsabilidades,0.9999966090032766
2,74639,17, responsabilidade,0.9999952242319239
3,37784,16, desenvolvimento,0.9999944817079848
4,59321,16, aproximadamente,0.9999936483323547
5,70313,16, responsabilidad,0.8571381996891099
6,95620,16, Desenvolvimento,0.8571398132259691
7,133080,16, administrations,0.9999951260987723
8,185865,16, administrativos,0.9999948959717055
9,191527,16, administrativas,0.9999966232109647
10,16507,15, administration,0.8571388417800585
11,33039,15, administrative,0.9999965314988122
12,62306,15, administrators,0.9999964043778953
13,89803,15, exclusivamente,0.999995291353214
14,94071,15, posteriormente,0.9999927576655131
15,96721,15, acompanhamento,0.9999968889427933
16,103137,15, constantemente,0.5714276711095241
17,113711,15, administrativa,0.9999940194040233
18,125451,15, reconhecimento,0.9999969181821251
19,125866,15, possibilidades,0.9999964167750179
20,127676,15, administrativo,0.99999598460694
21,151579,15,’administration,0.9999966096573061
22,186264,15, extremadamente,0.999992754861908
23,186905,15, Administrativo,0.9999959122583639
24,187885,15, empreendimento,0.5714274270426589
25,189616,15, cuidadosamente,0.8571375832593938
26,194060,15, personalizados,0.9999922594264439
27,196233,15,'administration,0.9999979583455634
